doc_id,filename,token,pos,count
1,기자간담회자료(1201)(최종).pdf,경제,NNG,12
1,기자간담회자료(1201)(최종).pdf,물가,NNG,7
1,기자간담회자료(1201)(최종).pdf,자료,NNG,5
1,기자간담회자료(1201)(최종).pdf,GDP,NNG,4
1,기자간담회자료(1201)(최종).pdf,유지,NNG,4
1,기자간담회자료(1201)(최종).pdf,정책,NNG,4
1,기자간담회자료(1201)(최종).pdf,세계,NNG,4
1,기자간담회자료(1201)(최종).pdf,지속,NNG,4
1,기자간담회자료(1201)(최종).pdf,통화정책,NNG,4
1,기자간담회자료(1201)(최종).pdf,한국은행,NNG,4
1,기자간담회자료(1201)(최종).pdf,금융시장,NNG,3
1,기자간담회자료(1201)(최종).pdf,가격,NNG,3
1,기자간담회자료(1201)(최종).pdf,계속,MAG,3
1,기자간담회자료(1201)(최종).pdf,기준금리,NNG,3
1,기자간담회자료(1201)(최종).pdf,금리,NNG,3
1,기자간담회자료(1201)(최종).pdf,건설,NNG,3
1,기자간담회자료(1201)(최종).pdf,석유,NNG,3
1,기자간담회자료(1201)(최종).pdf,안정,NNG,3
1,기자간담회자료(1201)(최종).pdf,위험요인,NNG,3
1,기자간담회자료(1201)(최종).pdf,수준,NNG,3
1,기자간담회자료(1201)(최종).pdf,상승률,NNG,3
1,기자간담회자료(1201)(최종).pdf,제외,NNG,3
1,기자간담회자료(1201)(최종).pdf,전기비,NNG,3
1,기자간담회자료(1201)(최종).pdf,전년,NNG,3
1,기자간담회자료(1201)(최종).pdf,소비자,NNG,3
1,기자간담회자료(1201)(최종).pdf,기준,NNG,3
1,기자간담회자료(1201)(최종).pdf,방향,NNG,3
1,기자간담회자료(1201)(최종).pdf,대비,NNG,3
1,기자간담회자료(1201)(최종).pdf,투자,NNG,3
1,기자간담회자료(1201)(최종).pdf,전세가격,NNG,3
1,기자간담회자료(1201)(최종).pdf,bok,SL,2
1,기자간담회자료(1201)(최종).pdf,Bloomberg,SL,2
1,기자간담회자료(1201)(최종).pdf,보였,VV,2
1,기자간담회자료(1201)(최종).pdf,선진국,NNG,2
1,기자간담회자료(1201)(최종).pdf,성장,NNG,2
1,기자간담회자료(1201)(최종).pdf,신흥시장국,NNG,2
1,기자간담회자료(1201)(최종).pdf,수출,NNG,2
1,기자간담회자료(1201)(최종).pdf,성장세,NNG,2
1,기자간담회자료(1201)(최종).pdf,성장률,NNG,2
1,기자간담회자료(1201)(최종).pdf,소비,NNG,2
1,기자간담회자료(1201)(최종).pdf,예상,NNG,2
1,기자간담회자료(1201)(최종).pdf,운용,NNG,2
1,기자간담회자료(1201)(최종).pdf,유럽,NNG,2
1,기자간담회자료(1201)(최종).pdf,인플레이션,NNG,2
1,기자간담회자료(1201)(최종).pdf,실물,NNG,2
1,기자간담회자료(1201)(최종).pdf,영향,NNG,2
1,기자간담회자료(1201)(최종).pdf,IMF,SL,2
