token,pos,count
둔화,NNG,14
흐름,NNG,10
물가,NNG,9
경기,NNG,9
전망,NNG,7
영향,NNG,7
상황,NNG,7
이후,NNG,7
수준,NNG,7
금융,NNG,6
부문,NNG,6
리스크,NNG,6
부진,NNG,5
상승률,NNG,5
지난,VV,5
지속,NNG,5
주요국,NNG,5
이어지,VV,5
금리,NNG,5
기대,NNG,4
기준금리,NNG,4
나타내,VV,4
긴축,NNG,4
국내,NNG,4
국제,NNG,4
경제,NNG,4
증대,NNG,4
예상,NNG,4
불확실성,NNG,4
인플레이션,NNG,4
미연준,NNG,4
은행,NNG,4
회복,NNG,4
하락,NNG,4
인상,NNG,4
통화정책,NNG,4
판단,NNG,3
중국,NNG,3
소폭,MAG,3
요인,NNG,3
오름세,NNG,3
여전히,MAG,3
사태,NNG,3
상회,NNG,3
여건,NNG,3
실리콘밸리,NNG,3
운용,NNG,3
모습,NNG,3
보이,VV,3
금융통화위원회,NNG,3
그간,NNG,3
근원,NNG,3
국내외,NNG,3
결정,NNG,3
확대,NNG,3
함께,MAG,3
유지,NNG,2
수출,NNG,2
더딘,VA,2
금융안정,NNG,2
금융시장,NNG,2
변화,NNG,2
대한,VV,2
변동성,NNG,2
목표,NNG,2
미국,NNG,2
다소,MAG,2
글로벌,NNG,2
관련,NNG,2
유가,NNG,2
소비자,NNG,2
속도,NNG,2
성장률,NNG,2
상당폭,NNG,2
점검,NNG,2
인플레이션율,NNG,2
적절,NNG,2
전망치,NNG,2
향후,MAG,2
하방,NNG,2
지난해,NNG,2
현재,NNG,2
약화,NNG,2
시장,NNG,2
장기,NNG,2
점차,MAG,2
가격변수,NNG,2
가계,NNG,2
IT,SL,2
가격,NNG,2
분기,NNG,2
상당기간,NNG,2
움직임,NNG,2
완화,NNG,2
유로지역,NNG,2
모두,MAG,1
미치,VV,1
무역수지,NNG,1
보였,VV,1
발언,NNG,1
등락,NNG,1
들어서,VV,1
따른,VV,1
때문,NNB,1
만큼,NNB,1
말씀,NNG,1
동반,NNG,1
동일,NNG,1
대해,VV,1
금년,NNG,1
기조,NNG,1
면밀히,MAG,1
먼저,MAG,1
대출,NNG,1
드리,VV,1
드린,VV,1
내수,NNG,1
단기,NNG,1
달러화,NNG,1
당초,NNG,1
대외,NNG,1
대체로,MAG,1
그칠,VV,1
그쳤,VV,1
국채,NNG,1
급등,NNG,1
금통위원,NNG,1
금융경제,NNG,1
감소,NNG,1
강화,NNG,1
계속,MAG,1
경직,NNG,1
경로,NNG,1
결정배경,NNG,1
과정,NNG,1
공공요금,NNG,1
고용,NNG,1
고려,NNG,1
가능성,NNG,1
감소세,NNG,1
강세,NNG,1
각각,MAG,1
가공식품,NNG,1
기저효과,NNG,1
기자간담회,NNG,1
기인,NNG,1
나아질,VV,1
나타냈,VV,1
소비,NNG,1
석유,NNG,1
시작,NNG,1
시기,NNG,1
상승,NNG,1
부합,NNG,1
위험,NNG,1
원대,NNG,1
원달러환율,NNG,1
우선,MAG,1
오늘,NNG,1
오늘,MAG,1
외환시장,NNG,1
심화,NNG,1
약세,NNG,1
안정,NNG,1
안심,NNG,1
양호,NNG,1
여타,NNG,1
연간,NNG,1
연말,NNG,1
연중,NNG,1
아직,MAG,1
상방,NNG,1
상반기,NNG,1
산유국,NNG,1
살펴,VV,1
부채,NNG,1
불안,NNG,1
비해서,VV,1
세계,NNG,1
성장세,NNG,1
성장,NNG,1
설명,NNG,1
전개,NNG,1
적자,NNG,1
이른,VA,1
이어질,VV,1
주택시장,NNG,1
주택가격,NNG,1
주로,MAG,1
주요,NNG,1
조짐,NNG,1
정책,NNG,1
정교,NNG,1
정도,NNG,1
전원,NNG,1
전환,NNG,1
전월,NNG,1
일치,NNG,1
재개,NNG,1
작용,NNG,1
중순,NNG,1
중심,NNG,1
폭등,NNG,1
파산,NNG,1
파급효과,NNG,1
커지,VV,1
추가,NNG,1
축소,NNG,1
직접,NNG,1
최근,NNG,1
한국은행,NNG,1
하회,NNG,1
하반기,NNG,1
하반,NNG,1
플러스,NNG,1
필요성,NNG,1
활동,NNG,1
회의,NNG,1
