token,pos,count
기준금리,NNG,9
물가,NNG,9
영향,NNG,8
확대,NNG,7
수출,NNG,6
모두,MAG,6
흐름,NNG,6
성장,NNG,6
경기,NNG,6
국내,NNG,5
금리,NNG,5
무역,NNG,5
상승률,NNG,5
점검,NNG,5
상황,NNG,5
판단,NNG,5
필요,NNG,5
협상,NNG,5
전망,NNG,5
상승,NNG,5
안정,NNG,5
여건,NNG,5
금융안정,NNG,5
드리,VV,5
만큼,NNB,5
경제,NNG,5
결정,NNG,5
수요,NNG,4
말씀,NNG,4
반도체,NNG,4
대해,VV,4
내년,NNG,4
예상,NNG,4
인하,NNG,4
이후,NNG,4
지속,NNG,4
추가,NNG,4
환율,NNG,4
정부,NNG,4
주택시장,NNG,4
압력,NNG,4
소비,NNG,4
정책,NNG,4
보이,VV,4
결과,NNG,4
대책,NNG,3
내외,NNG,3
대한,VV,3
다음,NNG,3
다시,MAG,3
금융통화위원회,NNG,3
관세,NNG,3
관련,NNG,3
개선,NNG,3
국제,NNG,3
나타내,VV,3
기대,NNG,3
갈등,NNG,3
가계,NNG,3
성장세,NNG,3
소비자,NNG,3
주요국,NNG,3
우려,NNG,3
회복세,NNG,3
변동성,NNG,3
리스크,NNG,3
내수,NNG,3
부동산,NNG,3
불구,NNG,3
면밀히,MAG,3
회의,NNG,3
수준,NNG,2
유로지역,NNG,2
완만,NNG,2
속도,NNG,2
현재,NNG,2
호조,NNG,2
하방,NNG,2
투자,NNG,2
특히,MAG,2
한미,NNG,2
향후,MAG,2
적절,NNG,2
주가,NNG,2
중심,NNG,2
증가세,NNG,2
지난,VV,2
재정,NNG,2
안정세,NNG,2
양호,NNG,2
오름세,NNG,2
부채,NNG,2
상당폭,NNG,2
상방,NNG,2
변화,NNG,2
대내외,NNG,2
살펴보,VV,2
수도권,NNG,2
원달러환율,NNG,2
유가,NNG,2
이어질,VV,2
유지,NNG,2
부각,NNG,2
바람직,NNG,2
발표,NNG,2
부합,NNG,2
불확실성,NNG,2
글로벌,NNG,2
금년,NNG,2
대응,NNG,2
대미,NNG,2
마지막,NNG,2
둔화,NNG,2
미국,NNG,2
발언,NNG,2
근원,NNG,2
금융,NNG,2
경우,NNG,2
건전성,NNG,2
경로,NNG,2
개선세,NNG,2
AI,SL,2
결정배경,NNG,2
성장률,NNG,2
요인,NNG,2
설명,NNG,2
부문,NNG,1
살펴볼,VV,1
민간,NNG,1
반면,NNG,1
범위,NNG,1
미치,VV,1
미연준,NNG,1
부양책,NNG,1
부진,NNG,1
보입니다,VV,1
따라,VV,1
등락,NNG,1
다소,MAG,1
대출,NNG,1
대체로,MAG,1
대내,NNG,1
대외,NNG,1
단기,NNG,1
단기간,NNG,1
달라질,VV,1
달러화,NNG,1
드립니다,VV,1
드린,VV,1
먼저,MAG,1
데이터,NNG,1
락하,NNG,1
기조,NNG,1
기간,NNG,1
기자간담회,NNG,1
경계감,NNG,1
건설,NNG,1
거시,NNG,1
감사,NNG,1
감소,NNG,1
거래량,NNG,1
거주자,NNG,1
APEC,SL,1
FOMC,NNG,1
가격,NNG,1
가늠,NNG,1
가상,NNG,1
가시,NNG,1
가운데,NNG,1
가장,MAG,1
각각,MAG,1
경청,NNG,1
고려,NNG,1
그간,NNG,1
규모,NNG,1
국고채,NNG,1
국과,NNG,1
과열,NNG,1
고용,NNG,1
국채,NNG,1
국내외,NNG,1
더해,VV,1
마치,VV,1
금융시장,NNG,1
연준,NNG,1
양방향,NNG,1
여전히,MAG,1
자본시장,NNG,1
자극,NNG,1
입수,NNG,1
인하,VV,1
인플레이션율,NNG,1
인플레이션,NNG,1
인상,NNG,1
이상,NNG,1
의견,NNG,1
이어지,VV,1
이러,NNG,1
이번,NNG,1
윤곽,NNG,1
원대,NNG,1
우선,MAG,1
유의,NNG,1
오늘,NNG,1
오늘,MAG,1
외환시장,NNG,1
위원,NNG,1
속하,VV,1
소폭,MAG,1
세계,NNG,1
상하방,NNG,1
심리,NNG,1
신성환,NNP,1
시기,NNG,1
약화,NNG,1
업황,NNG,1
전개,NNG,1
자세히,MAG,1
작용,NNG,1
지난해,NNG,1
중국,NNG,1
중요,NNG,1
증가,NNG,1
종합,NNG,1
조짐,NNG,1
제약,NNG,1
주택가격,NNG,1
제도개선,NNG,1
장기,NNG,1
잠재,NNG,1
잡힐,VV,1
전월,NNG,1
전망치,NNG,1
전망수치,NNG,1
전후,NNG,1
하락,NNG,1
폭등,NNG,1
투자자금,NNG,1
측면,NNG,1
커진,VA,1
통상,NNG,1
통화정책,NNG,1
통화정책운용방향,NNG,1
초반,NNG,1
축소,NNG,1
해외,NNG,1
하순,NNG,1
한국은행,NNG,1
확장,NNG,1
활성화,NNG,1
힘입,VV,1
