token,pos,count
상승,NNG,10
물가,NNG,9
인상,NNG,9
둔화,NNG,8
금리,NNG,7
전망,NNG,7
수준,NNG,6
지속,NNG,6
기준금리,NNG,5
경기,NNG,5
확대,NNG,5
여건,NNG,4
영향,NNG,4
결정,NNG,4
환율,NNG,4
오름세,NNG,4
국내,NNG,4
금융,NNG,4
금융시장,NNG,3
금융통화위원회,NNG,3
국제,NNG,3
기대,NNG,3
변화,NNG,3
대출,NNG,3
상당기간,NNG,3
상황,NNG,3
성장세,NNG,3
압력,NNG,3
소비자,NNG,3
안정,NNG,3
대응,NNG,3
내년,NNG,3
경제,NNG,3
흐름,NNG,3
판단,NNG,3
하락,NNG,3
회의,NNG,3
지난,VV,3
정책,NNG,3
일부,NNG,3
bp,SL,3
가격,NNG,3
당분간,MAG,2
드리,VV,2
변동성,NNG,2
부문,NNG,2
미연준,NNG,2
모습,NNG,2
대체로,MAG,2
대외,NNG,2
말씀,NNG,2
운용,NNG,2
작용,NNG,2
장기,NNG,2
이후,NNG,2
이러,NNG,2
상방,NNG,2
부합,NNG,2
상회,NNG,2
상당폭,NNG,2
수출,NNG,2
약세,NNG,2
시장,NNG,2
예상,NNG,2
외환,NNG,2
대해,VV,2
당초,NNG,2
리스크,NNG,2
기조,NNG,2
금년,NNG,2
관련,NNG,2
달러화,NNG,2
글로벌,NNG,2
주요,NNG,2
인플레이션율,NNG,2
주요국,NNG,2
통화정책,NNG,2
추가,NNG,2
필요,NNG,2
한국은행,NNG,2
외환시장,NNG,2
우려,NNG,2
위원,NNG,2
강세,NNG,2
과정,NNG,2
강화,NNG,2
가계,NNG,2
가운데,NNG,2
상승률,NNG,2
성장률,NNG,2
오늘,MAG,2
주가,NNG,2
발언,NNG,1
모두,MAG,1
무역수지,NNG,1
미치,VV,1
면밀히,MAG,1
목표,NNG,1
대해서,VV,1
드린,VV,1
때문,NNB,1
따른,VV,1
마지막,NNG,1
물가수준,NNG,1
부동산,NNG,1
보이,VV,1
보였으며,VV,1
금통위원,NNG,1
국민,NNG,1
국가,NNG,1
금융경제,NNG,1
국채,NNG,1
높일,VV,1
높이,VV,1
나타내,VV,1
나타나,VV,1
긴축,NNG,1
다음,NNG,1
다양,NNG,1
대부분,NNG,1
기자간담회,NNG,1
개인서비스,NNP,1
가공식품,NNG,1
FOMC,NNG,1
가중,NNG,1
가능성,NNG,1
가파른,VA,1
감산,NNG,1
견해,NNG,1
결정배경,NNG,1
감소,NNG,1
강도,NNG,1
경로,NNG,1
고통,NNG,1
고려,NNG,1
먼저,MAG,1
대한,VV,1
도움,NNP,1
더욱,MAG,1
속등,NNG,1
소비,NNG,1
석유,NNG,1
성장,NNG,1
설명,NNG,1
순상환,NNG,1
손실,NNG,1
소폭,MAG,1
산유국,NNG,1
상세히,MAG,1
불확실성,NNG,1
부채,NNG,1
부진,NNG,1
유발,NNG,1
위해서,VV,1
위한,VV,1
위안화,NNG,1
워낙,MAG,1
원달러환율,NNG,1
움직임,NNG,1
우선,MAG,1
완화,NNG,1
외국인,NNG,1
신성환,NNP,1
신용,NNG,1
역전폭,NNG,1
엔화,NNG,1
에너지,NNG,1
오늘,NNG,1
순유출,NNG,1
쏠림현상,NNG,1
살펴,VV,1
불가피,NNG,1
불구,NNG,1
불안,NNG,1
불안요인,NNG,1
선진국,NNG,1
적자,NNG,1
자본,NNG,1
인플레이션,NNG,1
일반인,NNG,1
이어질,VV,1
이해,NNG,1
의견,NNG,1
유출,NNG,1
주택시장,NNG,1
주택가격,NNG,1
주택,NNG,1
주상영,NNP,1
조속히,MAG,1
점검,NNG,1
점차,MAG,1
정책금리,NNG,1
전망치,NNG,1
전반,NNG,1
전환,NNG,1
이어지,VV,1
중후반,NNG,1
중국,NNG,1
중앙은행,NNG,1
중심,NNG,1
통화가치,NNG,1
커지,VV,1
최선,NNG,1
최종,NNG,1
최근,NNG,1
증가,NNG,1
증가세,NNG,1
증권,NNG,1
한미,NNG,1
하회,NNG,1
하방,NNG,1
투자자금,NNG,1
해지,NNG,1
향후,MAG,1
회복,NNG,1
후반,NNG,1
