token,pos,count
둔화,NNG,10
인상,NNG,10
경기,NNG,8
수준,NNG,8
물가,NNG,8
예상,NNG,6
관련,NNG,5
상황,NNG,5
부진,NNG,5
하락,NNG,5
지속,NNG,5
금리,NNG,5
기준금리,NNG,5
경제,NNG,4
국내,NNG,4
성장세,NNG,4
완화,NNG,4
상승,NNG,4
이후,NNG,4
통화정책,NNG,4
판단,NNG,4
주요국,NNG,4
점차,MAG,4
소비,NNG,3
전망,NNG,3
이어지,VV,3
향후,MAG,3
전망치,NNG,3
유지,NNG,3
여전히,MAG,3
속도,NNG,3
중국,NNG,3
가격,NNG,3
미연준,NNG,3
상승률,NNG,3
영향,NNG,3
움직임,NNG,3
불확실성,NNG,3
오름세,NNG,3
금년,NNG,3
결정,NNG,3
나타내,VV,3
국제,NNG,3
금융통화위원회,NNG,3
대한,VV,2
모습,NNG,2
대체로,MAG,2
상회,NNG,2
위원,NNG,2
여건,NNG,2
모두,MAG,2
대출,NNG,2
공공요금,NNG,2
목표,NNG,2
금융시장,NNG,2
bp,SL,2
가공식품,NNG,2
가운데,NNG,2
가스,NNG,2
금융,NNG,2
IT,SL,2
심화,NNG,2
수출,NNG,2
정책,NNG,2
추가,NNG,2
필요,NNG,2
지난,VV,2
회복,NNG,2
환율,NNG,2
한국은행,NNG,2
확대,NNG,2
중심,NNG,2
인플레이션,NNG,2
유가,NNG,2
정책금리,NNG,2
정도,NNG,2
인플레이션율,NNG,2
주요,NNG,2
전기,NNG,2
방역,NNG,2
변화,NNG,2
신용,NNG,2
안정,NNG,2
시장,NNG,2
요금,NNG,2
운용,NNG,2
오늘,MAG,2
소비자,NNG,2
성장률,NNG,2
발언,NNG,1
반영,NNG,1
대해서,VV,1
드리,VV,1
드린,VV,1
따라,VV,1
달러화,NNG,1
단기,NNG,1
바람직,NNG,1
미치,VV,1
미국,NNG,1
말씀,NNG,1
면밀히,MAG,1
모두,NNG,1
만큼,NNB,1
리스크,NNG,1
먼저,MAG,1
당초,NNG,1
나아질,VV,1
나타냈,VV,1
내수,NNG,1
내외,NNG,1
감소세,NNG,1
과정,NNG,1
결정배경,NNG,1
경계감,NNG,1
국내외,NNG,1
국과,NNG,1
그간,NNG,1
근원,NNG,1
금융경제,NNG,1
ABCP,SL,1
CP,NNG,1
가격변수,NNG,1
가계부,NNG,1
가계,NNG,1
가능성,NNG,1
감소,NNG,1
PF,NNG,1
FOMC,NNG,1
늘어났,VV,1
누적,NNG,1
대응,NNG,1
대외,NNG,1
대책,NNG,1
금융안정,NNG,1
기자간담회,NNG,1
기대,NNG,1
긴축,NNG,1
기조,NNG,1
수요,NNG,1
수도권,NNG,1
부동산,NNG,1
변동성,NNG,1
위안화,NNG,1
원대,NNG,1
원달러환율,NNG,1
우려,NNG,1
우선,MAG,1
외환시장,NNG,1
오늘,NNG,1
스프레드,NNG,1
신성환,NNP,1
시작,NNG,1
안정화,NNG,1
약세,NNG,1
엔화,NNG,1
약화,NNG,1
역성장,NNG,1
연간,NNG,1
상당폭,NNG,1
상세히,MAG,1
빨리,MAG,1
상당기간,NNG,1
비우량,NNG,1
비용,NNG,1
부합,NNG,1
불안,NNG,1
세계,NNG,1
성장,NNG,1
석유,NNG,1
설명,NNG,1
소폭,MAG,1
속도조절,NNG,1
장기,NNG,1
위험,NNG,1
중반,NNG,1
주택시장,NNG,1
주택가격,NNG,1
주택,NNG,1
주상영,NNP,1
점검,NNG,1
정상화,NNG,1
조절,NNG,1
정부,NNG,1
의견,NNG,1
이어질,VV,1
유로지역,NNG,1
위해,VV,1
채권,NNG,1
축소,NNG,1
지방,NNG,1
필요성,NNG,1
파급효과,NNG,1
코로나,NNG,1
투자,NNG,1
측면,NNG,1
중점,NNG,1
하회,NNG,1
하방,NNG,1
확산,NNG,1
하반기,NNG,1
활동,NNG,1
회복세,NNG,1
회사채,NNG,1
회의,NNG,1
흐름,NNG,1
힘입,VV,1
